YEAR,CONF ID,CONF,CONF TYPE,GAMES,W,L,WIN%,BADJ EM,BADJ O,BADJ D,BARTHAG,EFG%,EFGD%,TOV%,TOV%D,ORB%,DRB%,FTR,FTRD,2PT%,2PT%D,3PT%,3P%TD,BADJ T,WAB
2019,1,A10,MID,456,233,223,51.09649123,2,102.9,100.9,0.5555,49.6,49.3,18.1,18.8,27.9,71.9,32.2,32.6,50,49.1,32.6,33.1,68.2,-8
2019,2,ACC,HIGH,488,298,190,61.06557377,15.7,110.7,95,0.8532,50.7,47.9,17.9,19.2,30.9,71.4,33.7,30.4,50.7,47.7,33.8,32.2,68.8,1
2019,3,AE,LOW,276,123,153,44.56521739,-8.4,97.8,106.2,0.2782,49.9,51.3,19.2,18.9,26,72.7,30.7,31.8,49.2,50.8,33.9,34.7,67.7,-11.9
2019,4,Amer,MID,388,226,162,58.24742268,8.7,106.9,98.2,0.7269,49.8,48.4,18.3,19.1,31.5,70.6,36.3,35.5,49.7,48,33.3,32.7,69.2,-2.9
2019,5,ASun,MID,241,95,146,39.41908714,-6.4,98.6,105,0.3265,48.9,51.1,19.3,18.1,27,71.3,31.1,30.5,48.1,50.4,33.4,35,70.9,-11.2
2019,6,B10,HIGH,458,273,185,59.6069869,16.7,111.1,94.4,0.8681,50.5,47.9,17.2,18,29.7,72.5,32.9,30.4,49.9,47.2,34.3,32.7,68.2,1.8
2019,7,B12,HIGH,328,199,129,60.67073171,16.6,111,94.4,0.8662,51.2,48.4,18.4,19.3,30.4,71.4,32.4,30.8,50.6,47.2,34.8,33.5,68.6,2.2
2019,8,BE,HIGH,324,193,131,59.56790123,10.9,110,99.1,0.7683,52.3,50.4,17.9,18.4,28.7,72.6,33.6,31.9,51.6,49.5,35.5,34.4,69.4,-1.5
2019,9,BSky,MID,358,157,201,43.8547486,-8.4,100.3,108.7,0.2838,51.4,52.9,18,17.3,26.2,73.2,32.7,33.4,50.5,52.1,35.2,36,69.6,-12.1
2019,10,BSth,LOW,349,167,182,47.85100287,-4.5,102.4,106.9,0.3784,51.5,51.8,18,18.2,27.1,71.8,30.6,32.9,50.7,51.8,35.1,34.6,68,-9.7
