YEAR,TEAM NO,TEAM,SEED,ROUND,POWER,PATH,DRAW,WINS,POOL VALUE,POOL S-RANK,NCAA S-RANK
2016,602,Austin Peay,16,64,46.3,88.1,-0.31,0,0.5,64,61
2016,601,Baylor,5,64,75.7,70.6,-0.22,0,27.2,18,20
2016,600,Buffalo,14,64,52.3,76.7,0.45,0,2,56,54
2016,599,Butler,9,32,66.3,69.8,1.42,1,10.5,30,34
2016,598,Cal St. Bakersfield,15,64,57.2,82.6,0.06,0,2.3,55,58
2016,597,California,4,64,81.2,70.4,-1.36,0,38,13,14
2016,596,Chattanooga,12,64,56.4,80.8,-1.79,0,1.6,59,45
2016,595,Cincinnati,9,64,68.8,69.6,1.48,0,15.2,27,35
2016,594,Colorado,8,64,63.4,76.8,-1.04,0,4.8,43,30
2016,593,Connecticut,9,32,70.4,71,1.06,1,10.4,31,36
2016,592,Dayton,7,64,63.7,75.2,-0.97,0,4.4,44,26
2016,591,Duke,4,16,81.8,66.9,0.74,2,41.7,9,13
2016,589,Florida Gulf Coast,16,64,50.9,86.6,0.08,0,0.9,62,63
2016,588,Fresno St.,14,64,55.7,76.1,0.62,0,2.8,51,55
2016,587,Gonzaga,11,16,79.1,72.8,0.65,2,31.6,16,43
2016,586,Green Bay,14,64,53.6,76.2,0.59,0,2.5,53,53
2016,585,Hampton,16,64,47.3,85.5,0.36,0,0.8,63,62
2016,584,Hawaii,13,32,61.5,79.6,-0.57,1,3.2,48,50
2016,583,Holy Cross,16,64,42.5,75.8,2.88,0,1.1,60,64
2016,582,Indiana,5,16,80.6,69.2,0.44,2,38.2,12,17
2016,581,Iona,13,64,57.2,76.7,0.12,0,3,49,52
2016,580,Iowa,7,32,71.7,67.9,1.53,1,19.5,22,27
2016,579,Iowa St.,4,16,77.5,68.5,-0.22,2,16.3,25,16
2016,578,Kansas,1,8,88.4,65.4,0.5,3,66.9,6,1
2016,577,Kentucky,4,32,86.7,69,-0.52,1,75.8,4,15
2016,576,Little Rock,12,32,62.1,78.2,-0.94,1,3.3,47,46
2016,575,Maryland,5,16,80.1,69.4,0.34,2,38.7,11,19
2016,574,Miami FL,3,16,76.5,68,-0.38,2,23.9,19,10
2016,573,Michigan,11,64,64.1,74.5,0.01,0,7,37,41
2016,572,Michigan St.,2,64,89.4,65.8,0.41,0,118.6,1,5
2016,571,Middle Tennessee,15,32,53.6,87.5,-1.33,1,1,61,57
2016,570,North Carolina,1,2,86.8,66.5,-0.34,5,72.7,5,2
2016,569,Northern Iowa,11,32,58.4,71.3,1.22,1,5.3,41,44
2016,568,Notre Dame,6,8,73.3,69.6,0.54,3,22.3,21,22
2016,567,Oklahoma,2,4,84.2,64.8,1.03,4,91.9,2,6
2016,566,Oregon,1,8,75.9,64.2,1.41,3,33.4,14,4
2016,565,Oregon St.,7,64,62.3,72.2,0.06,0,4.9,42,28
2016,564,Pittsburgh,10,64,64.9,72.1,0.62,0,9.5,33,37
2016,563,Providence,9,32,65.3,72.5,0.6,1,5.5,40,33
2016,562,Purdue,5,64,79.6,69.6,0.25,0,40.6,10,18
2016,561,Saint Joseph's,8,32,66.6,71.7,0.76,1,9,34,32
2016,560,Seton Hall,6,64,70.2,77.7,-1.97,0,7.4,36,24
2016,559,South Dakota St.,12,64,58.6,79.7,-1.43,0,2.3,54,48
2016,557,Stephen F. Austin,14,32,64.2,77.2,0.31,1,6.6,38,56
2016,556,Stony Brook,13,64,59.8,83.8,-1.55,0,1.8,57,51
2016,555,Syracuse,10,4,67.7,71.1,0.96,4,9.7,32,39
2016,554,Temple,10,64,57.1,74.6,-0.22,0,3,50,38
2016,553,Texas,6,64,68.5,66.3,1.56,0,14,28,21
2016,552,Texas A&M,3,16,77.5,64.1,2.11,2,42.4,8,12
2016,551,Texas Tech,8,64,62.7,73.6,0.09,0,3.5,46,29
